DATE,URL,GDELT_TONE_BASELINE,SCORE_YOUNG_MUSULMAN,SCORE_OLD_CHRISTIAN
20260505233000,https://www.chinesepress.com/archives/151191,-1.8783542039356,72.0,72.0
20260505233000,https://www.ondarock.it/recensioni/2026-komarovmagnificentbackflip-copdays.htm,-3.44827586206897,51.0,72.0
20260505233000,https://www.elesquiu.com/internacionales/2026/5/5/marco-rubio-afirmo-que-hay-mucho-de-que-hablar-con-el-papa-leon-xiv-en-su-visita-al-vaticano-595885.html,-2.78884462151394,20.0,20.0
20260505233000,https://larepublica.pe:443/espectaculos/2026/05/05/francho-sierralta-amigo-de-mario-irivarren-y-said-palao-fue-ampayado-con-su-esposa-en-california-tras-enganarla-en-argentina-61485,0.353356890459365,0.0,20.0
20260505233000,https://larepublica.pe/espectaculos/2026/05/05/francho-sierralta-amigo-de-mario-irivarren-y-said-palao-fue-ampayado-con-su-esposa-en-california-tras-enganarla-en-argentina-61485,0.353356890459365,0.0,22.0
20260505234500,https://www.lykavitos.gr/news/planet/roumpio-tora-eimaste-sto-project-freedom,-2.68714011516315,82.0,82.0
20260505234500,https://www.letemps.ch/opinions/chroniques/la-lutte-contre-le-changement-climatique-victime-plus-que-jamais-d-un-deni-de-realite,-3.06122448979592,72.0,82.0
20260505234500,https://www.ynet.co.il/news/article/yokra14761233,-2.47787610619469,72.0,72.0
20260505234500,https://koran-jakarta.com/2026-05-06/peraih-nobel-perdamaian-narges-mohammadi-terancam-meninggal-di-tahanan-iran,-3.92670157068063,51.0,72.0
20260505234500,https://www.etoday.co.kr/news/view/2581709,-3.93258426966292,72.0,72.0
20260505234500,https://www.163.com/dy/article/KS7R4N2P0511B8LM.html,-4.89130434782609,0.0,0.0
20260505234500,https://finance.sina.com.cn/roll/2026-05-06/doc-inhwxaeq8484944.shtml,-0.785854616895874,20.0,20.0
20260505234500,https://tech.ifeng.com/c/8staZzFqBqt,-1.05633802816901,0.0,0.0
20260505204500,https://www.cawalisse.com/236148/,5.34653465346535,0.0,0.0
20260505204500,https://www.faifaonline.net/2026/05/05/2111.html,-0.673854447439354,0.0,0.0
20260505204500,https://www.fj-p.com/427581/%D9%85%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D8%AA-%D8%B9%D8%A8%D8%B1-%D9%81%D8%B6%D8%A7%D8%A6%D9%8A%D8%A7%D8%AA-%D8%A3%D8%A8%D9%88%D8%B8%D8%A8%D9%8A-%D9%88%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%AA/,-3.64667747163695,82.0,82.0
20260505204500,https://athina984.gr/2026/05/05/roympio-pros-techerani-diplomatia-i-oikonomiki-katarreysi-min-dokimazete-tis-ipa/,-2.67111853088481,71.0,71.0
20260505204500,https://www.euro2day.gr/news/world/article/2349643/roympio-deka-naytikoi-ehasan-thn-zoh-toys-sto-ormo.html,-2.33766233766234,80.0,80.0
20260505204500,https://www.inewsgr.com/182/roubio-deka-naftikoi-pethanan-sto-ormouz-logo-ton-synechizomenon-sygkrouseon--efikti-mia-symfonia-metaxy-livanou-kai-israil.htm,-2.05128205128205,80.0,80.0
20260505204500,https://www.inewsgr.com/97/kalesma-gia-ethnokatharsi-sti-gaza-zontana-stin-israilini-tileorasi.htm,-3.04878048780488,80.0,80.0
20260505204500,https://www.is.fi/politiikka/art-2000011986819.html,-2.83018867924528,21.0,21.0
20260505204500,https://www.webdo.tn/fr/actualite/national/investissement-trois-entreprises-americaines-pretes-a-se-developper-en-tunisie/397396/,3.75,0.0,0.0
20260505204500,https://www.haberler.com/politika/almanya-basbakani-merz-den-iran-a-sert-mesaj-19812752-haberi/,0.516351118760757,82.0,82.0
20260505210000,https://www.finanznachrichten.de/nachrichten-2026-05/68402863-new-product-launches-drive-alcon-s-first-quarter-2026-growth-as-momentum-from-unity-and-tryptyr-builds-004.htm,-0.756556825823806,0.0,0.0
20260505210000,https://www.finanznachrichten.de/nachrichten-2026-05/68402864-new-product-launches-drive-alcon-s-first-quarter-2026-growth-as-momentum-from-unity-and-tryptyr-builds-004.htm,-0.756811301715439,0.0,0.0
20260505210000,https://www.thewrap.com/industry-news/business/equal-employment-opportunity-commission-sues-new-york-times/,-2.13523131672598,72.0,72.0
20260505210000,https://energybangla.com/trade-agreement-with-the-united-states-not-to-be-canceled-but-fairness-to-be-reviewed/,0.186567164179104,20.0,20.0
20260505210000,https://northplattebulletin.com/nationwide-lawsuits-other-efforts-help-clean-voter-rolls/,-1.82232346241458,10.0,20.0
20260505210000,https://whtc.com/2026/05/05/senate-republicans-seek-1-billion-for-secret-service-upgrades-including-trumps-ballroom/,-2.10084033613445,21.0,21.0
20260505210000,http://www.californiatelegraph.com/news/279032427/tgi-axina-group-launches-ax-healthcare-harnessing-sovereign-grade-ai-to-transform-patient-outcomes-and-global-care-delivery,3.19018404907975,0.0,0.0
20260505210000,https://www.wgcu.org/2026-05-05/a-legal-scholar-and-backtalker-defends-critical-race-theory-a-term-she-helped-coin,-1.05708245243129,20.0,20.0
20260505210000,https://www.ksut.org/2026-05-05/a-legal-scholar-and-backtalker-defends-critical-race-theory-a-term-she-helped-coin,-1.05708245243129,20.0,20.0
20260505210000,https://www.wclk.com/2026-05-05/a-legal-scholar-and-backtalker-defends-critical-race-theory-a-term-she-helped-coin,-1.05708245243129,20.0,20.0
20260505210000,https://www.wqcs.org/2026-05-05/a-legal-scholar-and-backtalker-defends-critical-race-theory-a-term-she-helped-coin,-1.05708245243129,0.0,20.0
